,Days_From_Launch,Mission_Duration_Days,Age,Sex_Encoded,CV_Risk_Score,AGP,CRP,Fetuin A36,Fibrinogen,Haptoglobin,L-Selectin,PF4,SAP,a-2 Macroglobulin,AGP_Baseline,AGP_Change_From_Baseline,AGP_Pct_Change_From_Baseline,CRP_Baseline,CRP_Change_From_Baseline,CRP_Pct_Change_From_Baseline,Fetuin A36_Baseline,Fetuin A36_Change_From_Baseline,Fetuin A36_Pct_Change_From_Baseline,Fibrinogen_Baseline,Fibrinogen_Change_From_Baseline,Fibrinogen_Pct_Change_From_Baseline,Haptoglobin_Baseline,Haptoglobin_Change_From_Baseline,Haptoglobin_Pct_Change_From_Baseline,L-Selectin_Baseline,L-Selectin_Change_From_Baseline,L-Selectin_Pct_Change_From_Baseline,PF4_Baseline,PF4_Change_From_Baseline,PF4_Pct_Change_From_Baseline,SAP_Baseline,SAP_Change_From_Baseline,SAP_Pct_Change_From_Baseline,a-2 Macroglobulin_Baseline,a-2 Macroglobulin_Change_From_Baseline,a-2 Macroglobulin_Pct_Change_From_Baseline,CRP_zscore,Fibrinogen_zscore,Haptoglobin_zscore,a-2 Macroglobulin_zscore,PF4_zscore,AGP_zscore,SAP_zscore,AGP_Slope,CRP_Slope,Fetuin A36_Slope,Fibrinogen_Slope,Haptoglobin_Slope,L-Selectin_Slope,PF4_Slope,SAP_Slope,a-2 Macroglobulin_Slope,AGP_Baseline,AGP_Change_From_Baseline,AGP_Pct_Change_From_Baseline,CRP_Baseline,CRP_Change_From_Baseline,CRP_Pct_Change_From_Baseline,Fetuin A36_Baseline,Fetuin A36_Change_From_Baseline,Fetuin A36_Pct_Change_From_Baseline,Fibrinogen_Baseline,Fibrinogen_Change_From_Baseline,Fibrinogen_Pct_Change_From_Baseline,Haptoglobin_Baseline,Haptoglobin_Change_From_Baseline,Haptoglobin_Pct_Change_From_Baseline,L-Selectin_Baseline,L-Selectin_Change_From_Baseline,L-Selectin_Pct_Change_From_Baseline,PF4_Baseline,PF4_Change_From_Baseline,PF4_Pct_Change_From_Baseline,SAP_Baseline,SAP_Change_From_Baseline,SAP_Pct_Change_From_Baseline,a-2 Macroglobulin_Baseline,a-2 Macroglobulin_Change_From_Baseline,a-2 Macroglobulin_Pct_Change_From_Baseline,Age_Duration_Interaction,Sex_Duration_Interaction,AGP_Slope,CRP_Slope,Fetuin A36_Slope,Fibrinogen_Slope,Haptoglobin_Slope,L-Selectin_Slope,PF4_Slope,SAP_Slope,a-2 Macroglobulin_Slope,CV_Risk_Recovery_Trend
count,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
mean,26.142857142857142,3.0,40.0,0.5,50.00000000000001,2377601.9407142857,19725485.714285713,251596.40678571427,3859.9657142857136,9298283.709285716,1019262.1853571429,14026.115,10201128.57142857,1694412.0914285716,2148658.333333333,228943.60738095248,16.09422407664112,17712499.999999996,2012985.7142857143,27.290915677933402,244949.27750000003,6647.12928571429,4.43791244271291,4221.565833333334,-361.6001190476194,-8.187590601196854,5820826.359166668,3477457.350119047,325.93373833149053,968948.0191666664,50314.16619047614,7.308750659378292,11522.107499999996,2504.0075000000006,25.05610899797005,9159341.666666666,1041786.9047619051,14.66654039702554,1458890.1175000002,235521.97392857145,21.45416750773773,6.344131569286608e-17,6.780290614675063e-16,-1.1102230246251565e-16,-2.4484382775215505e-16,3.865955175034027e-17,0.0,1.2291754915492805e-16,3096.9405594405594,-28126.48601398602,55.94240384615383,1.6774912587412587,36328.40909090909,401.02712412587414,9.16901223776224,1804.5454545454545,229.85778846153858,2148658.333333333,228943.60738095248,16.09422407664112,17712499.999999996,2012985.7142857143,27.290915677933402,244949.27750000003,6647.12928571429,4.43791244271291,4221.565833333334,-361.6001190476194,-8.187590601196854,5820826.359166668,3477457.350119047,325.93373833149053,968948.0191666664,50314.16619047614,7.308750659378292,11522.107499999996,2504.0075000000006,25.05610899797005,9159341.666666666,1041786.9047619051,14.66654039702554,1458890.1175000002,235521.97392857145,21.45416750773773,120.0,1.5,3096.9405594405594,-28126.48601398602,55.94240384615383,1.6774912587412587,36328.40909090909,401.02712412587414,9.16901223776224,1804.5454545454545,229.85778846153858,0.04086128175645672
std,87.77990754900672,0.0,8.050764858994132,0.5091750772173156,11.524647158153597,956654.6259001339,20581345.09076055,67653.99597224871,1032.8806156836454,11489151.227140458,279817.7904734009,7578.803625920807,4018953.9470841247,779459.1163974236,740808.5870757608,848416.1938321639,45.69121141879077,14770060.440283569,17253784.118797243,91.67833663908193,51911.11413556652,57916.97195992709,26.7080927784574,319.621395238713,1067.378887233737,24.712941859838566,4550927.613526351,11699481.45862003,1264.9076053453937,231312.20220678308,225511.412053574,27.956404601810878,3798.2413826691245,6480.182663453932,65.38503181931807,2880729.924857437,3293739.214509347,40.254835881974365,488655.3660257455,683492.9510013072,57.47921399805136,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3376.056305207842,124859.21856564404,262.7477810252826,3.0913758090431545,93094.48264972924,672.3393179602663,14.605300416346168,11164.530513891874,2314.8356693177493,740808.5870757608,848416.1938321639,45.69121141879077,14770060.440283569,17253784.118797243,91.67833663908193,51911.11413556652,57916.97195992709,26.7080927784574,319.621395238713,1067.378887233737,24.712941859838566,4550927.613526351,11699481.45862003,1264.9076053453937,231312.20220678308,225511.412053574,27.956404601810878,3798.2413826691245,6480.182663453932,65.38503181931807,2880729.924857437,3293739.214509347,40.254835881974365,488655.3660257455,683492.9510013072,57.47921399805136,24.1522945769824,1.5275252316519468,3376.056305207842,124859.21856564404,262.7477810252826,3.0913758090431545,93094.48264972924,672.3393179602663,14.605300416346168,11164.530513891874,2314.8356693177493,0.09062223310897946
min,-92.0,3.0,29.0,0.0,32.2545593810005,942754.34,1289600.0,125785.45,1999.88,73870.48,515957.2,2156.35,4048000.0,531433.88,1336166.6666666667,-1906912.3266666667,-66.91703099777752,7487533.333333333,-33277300.0,-89.37423097205132,164901.74,-128130.92333333332,-50.46185941114051,3898.8233333333337,-2739.3233333333337,-57.801346358494854,825813.8266666667,-11888753.013333334,-99.38248930060226,584174.8333333334,-542410.9333333333,-46.278240658137484,6493.150000000001,-14630.146666666664,-86.05352754165632,5415100.0,-8061800.0,-60.245411609971896,854662.0833333334,-1638644.08,-75.51083925113916,-0.8957570864774049,-1.8008719362542744,-0.8028803039423118,-1.4920323426374587,-1.5661792528049374,-1.4998595750940016,-1.5310273898243736,-2487.062937062937,-232061.53846153847,-216.34244755244757,-2.812937062937063,-53620.62937062937,-729.020979020979,-13.375769230769222,-15891.608391608392,-3513.286713286713,1336166.6666666667,-1906912.3266666667,-66.91703099777752,7487533.333333333,-33277300.0,-89.37423097205132,164901.74,-128130.92333333332,-50.46185941114051,3898.8233333333337,-2739.3233333333337,-57.801346358494854,825813.8266666667,-11888753.013333334,-99.38248930060226,584174.8333333334,-542410.9333333333,-46.278240658137484,6493.150000000001,-14630.146666666664,-86.05352754165632,5415100.0,-8061800.0,-60.245411609971896,854662.0833333334,-1638644.08,-75.51083925113916,87.0,0.0,-2487.062937062937,-232061.53846153847,-216.34244755244757,-2.812937062937063,-53620.62937062937,-729.020979020979,-13.375769230769222,-15891.608391608392,-3513.286713286713,-0.10338780472823134
25%,-44.0,3.0,35.75,0.0,38.10781863258214,1602350.0,8450850.0,190016.51,3119.7025,1241700.0,782860.02,7851.0975,6151950.0,1037100.0,1467991.6666666665,-291041.66666666674,-15.128833726284618,8298808.333333334,-3916308.333333333,-42.80838038844246,231662.715,-11263.950833333343,-5.127181286467863,4039.0683333333336,-1130.5108333333337,-28.996205692828696,1984186.1416666666,-1816904.79,-41.84791251908456,928199.1108333333,-31532.608333333337,-4.153559929704963,9839.9425,999.5925000000027,7.27075241426661,7928025.0,163275.0,1.255601002831827,1155945.0058333334,-68202.95999999996,-3.1428806364173183,-0.5478084967025387,-0.7166977509745853,-0.7012340206867417,-0.8432925827676474,-0.814774706509136,-0.8103780818336994,-1.0075205202006297,2162.4125874125875,-65803.84615384616,-146.89766608391614,-0.2293706293706299,-13405.157342657343,277.18531468531467,3.327360139860142,-3044.58041958042,-316.3461538461538,1467991.6666666665,-291041.66666666674,-15.128833726284618,8298808.333333334,-3916308.333333333,-42.80838038844246,231662.715,-11263.950833333343,-5.127181286467863,4039.0683333333336,-1130.5108333333337,-28.996205692828696,1984186.1416666666,-1816904.79,-41.84791251908456,928199.1108333333,-31532.608333333337,-4.153559929704963,9839.9425,999.5925000000027,7.27075241426661,7928025.0,163275.0,1.255601002831827,1155945.0058333334,-68202.95999999996,-3.1428806364173183,107.25,0.0,2162.4125874125875,-65803.84615384616,-146.89766608391614,-0.2293706293706299,-13405.157342657343,277.18531468531467,3.327360139860142,-3044.58041958042,-316.3461538461538,0.014653134625204657
50%,1.0,3.0,40.0,0.5,49.88290116290932,2467350.0,12323500.0,271277.075,3875.635,4634100.0,1095750.0,13861.96,10874000.0,1651200.0,2180800.0,93600.00000000012,3.6485635693746152,10352883.333333334,1522516.6666666665,17.266923686483313,254069.69,4708.408333333355,1.5227555256315677,4124.118333333334,-508.1216666666669,-12.436232658505649,5247434.058333334,1055337.9633333334,48.66502389709112,1059776.26,58978.31333333324,5.1934603998121105,11297.031666666666,2687.6483333333335,25.57453310299828,8920333.333333332,1314066.666666667,17.139183878666785,1405410.2133333334,272882.63499999995,22.215791170991704,-0.35964538185643846,0.015170471278440206,-0.4059641671586376,-0.05543856056016545,-0.021659751077143827,0.09381448315401046,0.16742451827785143,4560.839160839161,16721.853146853147,-5.845786713286728,2.3517307692307683,4949.825174825175,735.4895104895105,12.13632867132867,5827.622377622378,909.6153846153846,2180800.0,93600.00000000012,3.6485635693746152,10352883.333333334,1522516.6666666665,17.266923686483313,254069.69,4708.408333333355,1.5227555256315677,4124.118333333334,-508.1216666666669,-12.436232658505649,5247434.058333334,1055337.9633333334,48.66502389709112,1059776.26,58978.31333333324,5.1934603998121105,11297.031666666666,2687.6483333333335,25.57453310299828,8920333.333333332,1314066.666666667,17.139183878666785,1405410.2133333334,272882.63499999995,22.215791170991704,120.0,1.5,4560.839160839161,16721.853146853147,-5.845786713286728,2.3517307692307683,4949.825174825175,735.4895104895105,12.13632867132867,5827.622377622378,909.6153846153846,0.06400262640244207
75%,82.0,3.0,44.25,1.0,59.53166509507466,2988300.0,21698250.0,294752.305,4458.2975,17907000.0,1252125.0,20014.9575,12600250.0,2059500.0,2861466.6666666665,733383.3333333335,28.823714186544144,19766575.0,9385041.666666666,78.15558440950085,267356.2525,31389.923333333325,13.686678893640385,4306.615833333333,311.19499999999937,7.5793628113495926,9084074.275833333,5944376.506666666,65.60090012469053,1100525.1683333335,167081.79499999993,15.718403971638692,12979.196666666665,4942.2508333333335,46.028681002114354,10151650.0,3113600.0000000005,30.763572943147526,1708355.325,578376.0249999999,36.81075310308207,0.0958520581145062,0.5792845529570337,0.749290884985323,0.46838621922702695,0.7902094836600773,0.6383683753278225,0.5969517093650863,5495.3671328671335,54399.21328671329,196.99428321678323,4.258592657342657,54683.391608391605,859.3313199300699,17.97798076923077,10676.748251748253,1455.819326923077,2861466.6666666665,733383.3333333335,28.823714186544144,19766575.0,9385041.666666666,78.15558440950085,267356.2525,31389.923333333325,13.686678893640385,4306.615833333333,311.19499999999937,7.5793628113495926,9084074.275833333,5944376.506666666,65.60090012469053,1100525.1683333335,167081.79499999993,15.718403971638692,12979.196666666665,4942.2508333333335,46.028681002114354,10151650.0,3113600.0000000005,30.763572943147526,1708355.325,578376.0249999999,36.81075310308207,132.75,3.0,5495.3671328671335,54399.21328671329,196.99428321678323,4.258592657342657,54683.391608391605,859.3313199300699,17.97798076923077,10676.748251748253,1455.819326923077,0.09021077353369415
max,194.0,3.0,51.0,1.0,71.65344919138091,4564200.0,83617000.0,373933.42,6533.18,55113000.0,1398200.0,28157.23,18242000.0,3051700.0,2896866.6666666665,1737566.6666666667,114.92349750870852,42656700.0,40960300.0,279.07035507118997,306755.99,135248.10000000003,82.01738805181805,4739.203333333334,1808.496666666666,46.385704404833234,11962623.493333334,54287186.17333333,6573.7802420261405,1172064.7233333334,682425.1666666666,116.81865217861431,17001.216666666664,17398.6,267.9531506279694,13381600.0,8359900.0,154.38126719728166,2170077.96,2138937.9166666665,250.26708899082433,3.104341043015536,2.5881154560587176,3.987650208875973,1.7413202052785879,1.8645574812981254,2.285671338523351,2.000737389490449,5753.146853146854,86111.88811188811,451.8036363636364,4.81944055944056,189034.61538461538,862.1504545454544,25.779160839160845,11454.545454545454,2613.487097902098,2896866.6666666665,1737566.6666666667,114.92349750870852,42656700.0,40960300.0,279.07035507118997,306755.99,135248.10000000003,82.01738805181805,4739.203333333334,1808.496666666666,46.385704404833234,11962623.493333334,54287186.17333333,6573.7802420261405,1172064.7233333334,682425.1666666666,116.81865217861431,17001.216666666664,17398.6,267.9531506279694,13381600.0,8359900.0,154.38126719728166,2170077.96,2138937.9166666665,250.26708899082433,153.0,3.0,5753.146853146854,86111.88811188811,451.8036363636364,4.81944055944056,189034.61538461538,862.1504545454544,25.779160839160845,11454.545454545454,2613.487097902098,0.1388276789491741
